"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
창원시,324,312,31.4%,56.8%,1.7%,6.3%,0.5%,1.1%,2.2%,0.0%
"고성군,남해군,사천시,진주시,통영시,하동군",224,220,23.7%,60.3%,2.1%,9.1%,0.0%,2.7%,0.3%,1.8%
"거제시,김해시,밀양시,양산시",346,366,35.0%,42.9%,4.5%,10.1%,0.6%,1.5%,4.1%,1.4%
"거창군,산청군,의령군,창녕군,함안군,함양군,합천군",107,103,16.9%,63.3%,5.6%,9.1%,0.0%,0.0%,4.1%,1.0%
,,,,,,,,,,
