"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,208,190,37.9%,39.6%,2.4%,6.3%,1.8%,10.0%,2.1%,
"부산,울산,경남",147,151,36.3%,45.0%,0.7%,4.6%,1.7%,8.6%,3.1%,
"대구,경북",99,98,31.4%,54.0%,0.8%,4.2%,2.7%,5.6%,1.3%,
"경기,인천",295,314,47.2%,28.8%,2.1%,5.7%,3.3%,11.4%,1.5%,
"광주,전남북",105,98,62.0%,18.6%,0.0%,2.0%,3.9%,9.4%,4.0%,
"대전,세종,충남북",102,106,43.3%,32.4%,6.1%,3.6%,5.7%,8.9%,0.0%,
강원,30,30,26.3%,29.5%,2.0%,5.8%,0.0%,30.6%,5.8%,
제주,14,13,26.9%,10.3%,0.0%,12.8%,0.0%,46.2%,3.8%,
