"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,215,190,34.8%,43.2%,2.1%,8.1%,2.0%,8.2%,1.6%
"경기,인천",302,317,33.6%,34.3%,3.5%,12.7%,0.8%,14.2%,0.8%
"대전,세종,충남북",96,107,48.8%,34.6%,0.6%,2.7%,0.0%,12.7%,0.6%
"광주,전남북",106,98,54.5%,19.2%,1.4%,4.8%,0.0%,16.9%,3.2%
"대구,경북",88,98,25.8%,52.9%,0.0%,2.6%,3.1%,10.9%,4.8%
"부산,울산,경남",141,152,24.8%,39.8%,1.7%,9.8%,3.1%,16.8%,4.0%
"강원,제주",58,44,27.3%,34.4%,4.1%,9.5%,4.5%,13.4%,6.8%
,,,,,,,,,
