"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,215,189,38.3%,41.2%,3.1%,10.8%,1.4%,1.5%,3.1%,0.6%
"경기,인천",305,315,41.5%,40.8%,2.4%,11.2%,0.5%,1.1%,1.8%,0.7%
"대전,세종,충남북",108,106,33.1%,40.8%,4.0%,10.7%,3.1%,3.6%,4.0%,0.7%
"광주,전남북",104,98,53.6%,27.2%,3.2%,10.3%,0.0%,0.8%,4.9%,0.0%
"대구,경북",77,98,19.8%,56.5%,3.6%,14.2%,0.0%,3.4%,1.0%,1.6%
"부산,울산,경남",142,150,35.1%,41.6%,2.7%,7.5%,0.0%,2.9%,8.5%,1.7%
"강원,제주",49,44,35.9%,50.7%,3.4%,10.0%,0.0%,0.0%,0.0%,0.0%
