"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,188,190,30.4%,43.7%,2.7%,7.5%,2.1%,3.3%,10.3%,
"경기,인천",323,319,32.7%,39.1%,2.8%,8.9%,1.5%,3.0%,12.1%,
"대전,세종,충남북",106,107,32.2%,40.1%,2.9%,6.8%,1.9%,3.0%,13.1%,
"광주,전남북",100,99,60.3%,7.7%,5.3%,9.5%,1.0%,4.0%,12.2%,
"대구,경북",101,99,25.9%,49.5%,2.1%,6.8%,2.5%,1.8%,11.4%,
"부산,울산,경남",149,153,25.2%,45.2%,3.7%,10.1%,1.4%,2.7%,11.8%,
"강원,제주",43,43,34.7%,34.3%,2.3%,8.8%,4.1%,4.7%,11.0%,
