"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,옥은호,김동연,김경재,조원진,김재연,없음,모름
대전,370,371,39.20%,38.20%,2.00%,9.80%,2.20%,0.30%,0.30%,0.00%,0.00%,0.00%,2.50%,5.50%
세종,83,87,44.4%,35.6%,2.7%,10.3%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%,2.3%
충남,547,542,36.8%,41.7%,1.5%,8.8%,1.8%,0.0%,0.0%,0.2%,0.3%,0.2%,2.9%,5.8%
