"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,205,190,32.7%,42.7%,1.5%,9.5%,1.0%,6.1%,6.4%,,
"경기,인천",344,317,34.7%,38.9%,4.8%,8.8%,2.1%,6.4%,4.3%,,
"대전,세종,충남북",97,107,33.1%,40.6%,6.0%,9.3%,0.0%,7.7%,3.3%,,
"광주,전남북",98,98,65.6%,4.7%,1.2%,8.0%,1.0%,12.6%,6.9%,,
"대구,경북",89,98,19.7%,53.9%,1.7%,11.6%,2.7%,6.9%,3.5%,,
"부산,울산,경남",134,152,26.2%,48.2%,2.6%,5.0%,0.7%,10.4%,6.9%,,
"강원,제주",38,43,26.4%,50.9%,4.7%,2.3%,2.0%,7.8%,6.0%,,
