"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",유보,유보2,
서울,193,193,34.00%,41.00%,2.00%,13.00%,9.00%,1.00%,
"경기,인천",317,317,36.00%,40.00%,5.00%,12.00%,6.00%,1.00%,
"대전,세종,충남북",103,103,40.00%,36.00%,4.00%,11.00%,6.00%,3.00%,
"광주,전남북",99,99,74.00%,7.00%,2.00%,10.00%,7.00%,0.00%,
"대구,경북",98,98,19.00%,62.00%,2.00%,13.00%,2.00%,2.00%,
"부산,울산,경남",146,146,38.00%,43.00%,2.00%,9.00%,4.00%,4.00%,
,,,,,,,,,
