"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,514,384,41.1%,38.4%,3.6%,7.7%,2.1%,5.8%,1.3%,
"경기,인천",629,642,41.2%,40.9%,3.4%,7.7%,2.5%,3.0%,1.2%,
"대전,세종,충남북",172,215,33.1%,51.5%,2.7%,5.3%,2.4%,4.0%,1.1%,
강원,73,61,46.1%,35.6%,0.0%,3.9%,0.0%,12.9%,1.5%,
"부산,울산,경남",253,310,37.2%,47.6%,0.9%,5.7%,0.0%,5.0%,3.6%,
"대구,경북",174,198,22.4%,60.7%,2.3%,7.1%,2.1%,4.1%,1.3%,
"광주,전남북",196,201,65.0%,18.3%,1.8%,5.9%,1.8%,6.0%,1.2%,
제주,27,27,50.9%,26.5%,3.3%,5.5%,7.3%,6.6%,0.0%,
