"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수","	기타",없음,모름
서울,191,188,27.6%,39.5%,4.0%,3.3%,2.6%,7.5%,15.6%
"경기,인천",313,315,28.2%,34.9%,6.9%,3.2%,3.4%,9.1%,14.4%
"대전,세종,충남북",106,106,21.1%,42.2%,0.9%,0.9%,3.2%,6.2%,25.4%
"광주,전남북",102,98,54.5%,9.4%,3.1%,4.8%,2.0%,7.8%,18.5%
"대구,경북",106,98,21.0%,42.2%,3.2%,2.8%,4.9%,6.4%,19.3%
"부산,울산,경남",151,152,25.4%,39.1%,3.1%,4.8%,6.4%,7.7%,13.4%
"강원,제주",44,43,40.3%,39.5%,2.7%,0.0%,1.7%,0.0%,15.8%
