"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,211,190,36.9%,31.8%,5.0%,4.4%,0.5%,14.4%,7.2%,
"경기,인천",334,315,41.8%,31.6%,6.0%,2.8%,2.6%,10.1%,5.2%,
"대전,세종,충남북",99,107,35.0%,31.8%,3.3%,5.3%,6.9%,15.1%,2.6%,
"광주,전남북",101,98,60.0%,11.7%,6.0%,3.6%,2.0%,13.8%,2.8%,
"대구,경북",89,98,15.3%,53.8%,4.0%,7.4%,2.0%,10.4%,6.9%,
"부산,울산,경남",133,151,39.4%,35.7%,0.7%,2.4%,2.5%,14.2%,5.1%,
"강원,제주",36,44,17.9%,54.2%,2.3%,0.0%,4.1%,13.6%,7.9%,
