"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,194,190,24.9%,38.6%,3.5%,6.7%,4.1%,8.2%,14.0%,
"경기,인천",319,318,37.7%,26.9%,4.6%,5.8%,5.0%,7.8%,12.1%,
"대전,세종,충남북",105,107,23.5%,32.4%,1.9%,9.3%,5.6%,5.9%,21.3%,
"광주,전남북",98,99,54.9%,8.4%,3.7%,6.7%,2.8%,3.5%,19.9%,
"대구,경북",99,99,24.3%,44.9%,3.2%,4.6%,2.4%,8.5%,12.2%,
"부산,울산,경남",152,153,33.3%,36.7%,1.4%,5.2%,4.2%,6.1%,13.0%,
"강원,제주",43,44,11.1%,32.7%,11.0%,5.1%,9.5%,1.7%,28.8%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
