"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,191,189,31.3%,40.9%,2.1%,15.7%,2.1%,6.3%,1.5%,
"경기,인천",315,315,45.3%,28.3%,1.9%,15.1%,1.1%,7.6%,0.6%,
"대전,세종,충남북",116,108,29.0%,36.4%,1.8%,15.0%,2.8%,13.6%,1.5%,
"강원,제주",46,43,37.9%,38.0%,4.8%,6.1%,3.6%,9.6%,0.0%,
"부산,울산,경남",149,151,38.2%,36.8%,4.4%,7.8%,5.0%,7.8%,0.0%,
"대구,경북",91,99,17.3%,47.6%,10.2%,7.1%,2.0%,13.7%,2.2%,
"광주,전남북",95,98,62.6%,19.0%,2.9%,7.8%,2.0%,4.7%,1.0%,
