"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",유보,유보2,,
서울,193,193,30%,35%,3%,20%,10%,2%,,
"경기,인천",317,317,40%,26%,3%,17%,13%,1%,,
"대전,세종,충남북",106,106,17%,41%,6%,20%,13%,3%,,
"광주,전남북",98,98,69%,7%,2%,8%,14%,0%,,
"대구,경북",91,91,25%,48%,4%,15%,6%,2%,,
"부산,울산,경남",152,152,21%,44%,1%,19%,11%,4%,,
,,,,,,,,,,
