"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
제주시,759,725,45.20%,42.80%,2.80%,5.90%,0.90%,1.50%,0.80%,
서귀포시,242,276,39.60%,43.40%,3.10%,8.90%,2.20%,2.20%,0.60%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
