"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,200,189,41.3%,41.6%,2.3%,4.1%,4.1%,0.5%,5.4%,0.8%
"경기,인천",320,314,40.6%,40.3%,3.3%,4.5%,4.0%,0.9%,5.0%,1.3%
"대전,세종,충남북",101,107,36.4%,39.4%,2.8%,3.2%,6.4%,6.4%,5.4%,0.0%
"광주,전남북",93,98,59.6%,24.8%,0.9%,4.2%,4.8%,1.0%,4.8%,0.0%
"대구,경북",98,98,29.0%,47.0%,3.4%,2.3%,9.2%,3.2%,2.9%,3.0%
"부산,울산,경남",143,150,27.5%,55.0%,4.2%,3.0%,3.0%,2.3%,4.2%,0.8%
"강원,제주",45,44,46.8%,28.3%,2.0%,5.2%,1.8%,1.9%,2.4%,11.7%
