"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,오준호,기타,없음,모름
서울,220,190,34.10%,41.30%,4.00%,4.20%,1.10%,4.60%,0.00%,2.90%,5.70%,2.00%
"경기,인천",306,315,39.90%,39.50%,3.90%,4.00%,0.60%,3.80%,0.30%,3.20%,4.40%,0.50%
"대전,세종,충남북",93,106,33.00%,52.00%,0.80%,2.40%,3.00%,4.10%,0.00%,0.00%,2.50%,2.20%
"광주,전남북",95,97,58.80%,17.70%,3.70%,3.80%,1.00%,4.90%,0.00%,2.10%,4.60%,3.40%
"대구,경북",110,98,31.00%,56.20%,0.80%,4.00%,0.00%,1.80%,0.00%,1.80%,2.40%,2.10%
"부산,울산,경남",141,150,34.10%,51.70%,2.50%,4.40%,0.00%,2.00%,0.00%,0.00%,2.90%,2.40%
"강원,제주",38,44,42.70%,42.00%,0.00%,3.10%,0.00%,5.10%,0.00%,3.40%,3.80%,0.00%
