"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,,
서울,211,190,38.5%,42.1%,1.4%,11.6%,1.1%,0.9%,3.4%,0.9%,,
"경기,인천",322,316,38.7%,40.0%,3.3%,11.3%,0.6%,1.0%,4.2%,0.9%,,
"대전,세종,충남북",99,108,31.4%,48.4%,4.0%,8.4%,0.9%,1.0%,4.9%,0.9%,,
"광주,전남북",101,98,57.1%,19.0%,5.8%,4.0%,2.8%,0.0%,8.6%,2.8%,,
"대구,경북",91,98,20.1%,67.4%,1.3%,4.5%,0.0%,3.1%,3.6%,0.0%,,
"부산,울산,경남",147,152,34.0%,44.6%,0.7%,11.9%,0.0%,5.0%,2.6%,1.3%,,
"강원,제주",35,44,27.8%,40.2%,0.0%,11.5%,0.0%,5.5%,12.3%,2.7%,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
