"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,190,189,31.6%,39.0%,4.5%,11.7%,0.0%,1.1%,0.0%,6.4%,5.8%
"경기,인천",321,316,39.7%,32.9%,3.8%,11.8%,0.0%,0.6%,0.0%,6.9%,4.3%
"대전,세종,충남북",107,106,35.2%,39.9%,2.0%,7.5%,0.0%,3.7%,0.8%,4.8%,6.0%
"광주,전남북",95,98,58.8%,14.4%,3.7%,10.5%,0.0%,2.9%,0.0%,6.7%,3.1%
"대구,경북",95,98,27.2%,40.6%,3.7%,6.5%,1.0%,5.3%,0.0%,7.3%,8.4%
"부산,울산,경남",149,150,23.3%,49.4%,4.8%,8.8%,0.7%,3.8%,0.0%,3.2%,6.1%
"강원,제주",44,44,36.8%,41.4%,3.5%,11.4%,0.0%,0.0%,0.0%,1.7%,5.2%
