"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,191,188,24.4%,46.8%,3.1%,13.3%,0.6%,9.4%,2.5%
"경기,인천",317,316,37.8%,35.6%,2.2%,11.2%,0.6%,8.6%,4.1%
"대전,세종,충남북",107,108,31.5%,34.1%,0.0%,16.5%,1.9%,8.6%,7.4%
"광주,전남북",99,99,58.5%,9.9%,4.8%,8.3%,2.0%,11.9%,4.5%
"대구,경북",97,97,15.3%,54.7%,2.4%,15.6%,1.0%,8.9%,2.1%
"부산,울산,경남",150,152,27.6%,48.0%,2.0%,11.0%,2.0%,7.2%,2.0%
"강원,제주",42,43,33.7%,37.2%,4.7%,7.0%,2.3%,4.7%,10.5%
