"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,조원진,기타,없음,모름
서울,200,194,37.1%,45.1%,1.8%,11.1%,1.2%,0.4%,0.0%,1.1%,0.6%,1.5%
"부산,울산,경남",155,155,30.4%,56.3%,0.5%,4.0%,2.5%,0.9%,0.0%,0.6%,4.2%,0.6%
"대구,경북",94,100,32.6%,54.7%,0.9%,3.6%,0.0%,0.0%,0.0%,1.2%,2.4%,4.8%
"경기,인천",326,324,46.9%,41.2%,0.9%,7.5%,1.3%,0.3%,0.0%,0.0%,0.9%,1.1%
"광주,전남북",103,101,62.4%,21.6%,1.8%,4.6%,3.5%,0.0%,1.1%,3.0%,1.1%,0.8%
"대전,세종,충남북",106,109,43.8%,40.5%,0.8%,5.0%,2.5%,0.0%,1.5%,2.6%,1.8%,1.5%
강원,30,31,51.6%,27.0%,4.0%,1.6%,0.0%,0.0%,0.0%,0.0%,9.7%,6.0%
제주,13,13,51.3%,12.8%,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,28.2%
