"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
중구,166,168,16.60%,64.50%,3.60%,5.80%,1.80%,5.00%,2.70%,,,
남구,334,332,19.50%,64.30%,1.00%,7.00%,4.40%,3.20%,0.60%,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
