"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,205,189,34.8%,47.0%,3.5%,6.7%,1.2%,1.3%,4.6%,0.9%
"경기,인천",322,316,42.1%,45.2%,2.4%,5.3%,0.7%,1.9%,1.3%,1.2%
"대전,세종,충남북",99,106,45.4%,37.2%,1.6%,5.6%,2.4%,0.9%,5.2%,1.8%
"광주,전남북",103,98,66.7%,19.8%,1.0%,9.8%,0.0%,0.0%,1.7%,1.1%
"대구,경북",86,98,28.1%,61.3%,1.9%,3.9%,0.0%,2.5%,2.2%,0.0%
"부산,울산,경남",152,151,42.1%,43.6%,2.5%,4.9%,1.3%,2.6%,1.1%,1.9%
"강원,제주",35,44,41.1%,46.6%,0.0%,6.2%,0.0%,0.0%,6.2%,0.0%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
