"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,755,578,37.3%,42.8%,3.6%,9.1%,1.7%,3.8%,1.7%,
"경기,인천",970,958,39.3%,41.0%,2.6%,9.2%,1.7%,4.2%,1.9%,
"대전,세종,충남북",289,322,41.0%,41.0%,5.2%,8.3%,0.3%,2.6%,1.6%,
강원,97,91,30.2%,52.2%,3.2%,7.7%,0.0%,4.9%,1.8%,
"부산,울산,경남",376,461,34.2%,51.0%,2.3%,6.1%,2.9%,2.8%,0.8%,
"대구,경북",271,297,25.8%,55.9%,3.1%,7.7%,2.1%,4.9%,0.5%,
"광주,전남북",247,297,59.9%,22.8%,3.9%,7.8%,2.7%,1.5%,1.3%,
제주,38,39,35.6%,40.9%,2.9%,13.0%,2.4%,5.2%,0.0%,
