"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,190,189,32.0%,28.9%,5.4%,15.9%,0.5%,2.6%,10.4%,4.2%
"경기,인천",317,316,42.5%,25.9%,3.6%,11.4%,0.0%,3.5%,9.0%,4.1%
강원,31,30,27.5%,45.5%,6.0%,17.8%,0.0%,0.0%,3.2%,0.0%
"대전,세종,충남북",106,106,43.3%,26.6%,2.8%,8.3%,0.0%,0.9%,10.5%,7.6%
"광주,전남북",97,98,56.4%,11.6%,2.0%,14.8%,0.0%,3.0%,9.1%,3.1%
"대구,경북",98,98,21.5%,49.2%,3.9%,11.7%,0.0%,1.1%,7.4%,5.1%
"부산,울산,경남",150,151,29.4%,33.4%,2.7%,14.5%,0.7%,6.7%,8.1%,4.7%
제주,12,13,49.4%,26.6%,0.0%,9.6%,0.0%,0.0%,7.9%,6.4%
