"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,209,191,34.7%,35.9%,5.3%,13.2%,0.9%,4.4%,1.4%,3.1%,1.1%
"부산,울산,경남",155,153,31.4%,39.3%,1.2%,12.4%,0.5%,3.0%,1.9%,8.7%,1.6%
"대구,경북",86,99,19.3%,59.5%,3.0%,2.7%,0.0%,6.0%,1.0%,8.4%,0.0%
"경기,인천",308,320,36.5%,38.9%,1.8%,10.5%,0.9%,2.5%,0.7%,7.9%,0.3%
"광주,전남북",112,99,46.4%,23.7%,1.7%,16.0%,0.9%,3.4%,0.8%,7.1%,0.0%
"대전,세종,충남북",101,108,37.5%,39.4%,0.0%,11.8%,1.0%,0.9%,0.7%,8.0%,0.7%
강원,30,31,50.3%,22.1%,0.0%,7.1%,2.4%,0.0%,2.3%,13.4%,2.3%
제주,13,13,46.2%,3.8%,0.0%,0.0%,0.0%,7.7%,0.0%,19.2%,23.1%
