"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,204,190,31.7%,35.0%,3.0%,16.9%,0.9%,2.7%,8.3%,1.4%
"경기,인천",304,315,42.0%,34.7%,0.8%,13.3%,0.3%,3.4%,5.2%,0.3%
"대전,세종,충남북",105,105,29.8%,48.6%,3.1%,10.7%,1.8%,0.9%,4.1%,1.1%
"광주,전남북",103,98,49.3%,20.6%,3.9%,14.6%,1.6%,2.9%,6.3%,0.9%
"대구,경북",101,98,28.3%,43.7%,0.0%,15.4%,1.0%,5.0%,6.6%,0.0%
"부산,울산,경남",143,150,28.1%,45.1%,0.8%,13.9%,0.6%,5.3%,5.6%,0.6%
"강원,제주",40,44,51.1%,26.0%,0.0%,9.5%,0.0%,5.2%,5.1%,3.1%
