"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름,
동구,113,126,37.3%,44.4%,0.0%,9.0%,1.7%,0.0%,0.0%,3.4%,4.3%,
중구,134,131,29.3%,53.6%,0.9%,9.7%,2.5%,0.0%,0.5%,2.8%,0.7%,
서구,263,261,38.4%,46.0%,1.0%,8.5%,0.9%,0.0%,0.9%,2.9%,1.4%,
유성구,213,188,32.0%,47.8%,2.9%,9.2%,3.0%,0.9%,0.4%,1.8%,2.0%,
대덕구,82,99,35.1%,47.3%,1.1%,7.4%,0.0%,0.8%,2.7%,4.0%,1.7%,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
