"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,,
서울,241,190,29.9%,49.6%,3.9%,1.6%,2.1%,1.1%,6.2%,5.6%,,
"경기,인천",311,315,41.7%,41.4%,5.3%,2.3%,0.6%,2.7%,4.3%,1.7%,,
"대전,세종,충남북",113,106,33.5%,50.3%,3.2%,5.0%,0.5%,1.7%,3.7%,2.0%,,
강원,32,31,19.3%,55.6%,0.0%,0.0%,6.5%,2.4%,11.9%,4.3%,,
"부산,울산,경남",134,150,30.4%,47.9%,4.5%,4.1%,2.1%,2.2%,4.4%,4.2%,,
"대구,경북",89,98,29.4%,57.0%,4.0%,2.1%,0.0%,4.3%,1.4%,1.8%,,
"광주,전남북",103,98,66.4%,22.8%,2.2%,0.0%,4.3%,1.2%,3.1%,0.0%,,
제주,13,12,17.3%,68.2%,0.0%,8.5%,0.0%,6.0%,0.0%,0.0%,,
