"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,234,189,35.70%,49.40%,4.60%,1.90%,1.60%,3.60%,0.00%,3.20%,0.00%
"경기,인천",325,315,42.00%,43.60%,1.10%,4.20%,0.20%,2.60%,0.40%,5.50%,0.50%
"대전,세종,충남북,강원",112,136,39.40%,44.00%,4.30%,1.00%,0.00%,4.60%,2.20%,3.80%,0.80%
"광주,전남북,제주",116,111,54.70%,24.40%,2.10%,9.30%,0.00%,1.80%,0.60%,7.10%,0.00%
"대구,경북",92,98,32.80%,48.00%,0.90%,1.10%,1.00%,6.80%,2.00%,4.90%,2.50%
"부산,울산,경남",148,151,34.70%,44.90%,2.60%,4.10%,0.00%,3.90%,1.60%,6.80%,1.40%
