"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,200,188,30.7%,31.8%,3.4%,16.7%,1.5%,9.0%,7.0%,
"경기,인천",323,317,39.8%,27.9%,3.9%,13.8%,1.5%,7.3%,5.8%,
"대전,세종,충남북",105,108,30.6%,33.3%,5.6%,17.3%,0.9%,6.8%,5.6%,
"광주,전남북",93,99,67.9%,10.6%,3.0%,6.8%,3.0%,4.0%,4.5%,
"대구,경북",93,97,17.7%,48.6%,2.7%,14.6%,0.0%,10.1%,6.2%,
"부산,울산,경남",148,152,36.1%,34.6%,5.6%,10.4%,0.7%,8.1%,4.5%,
"강원,제주",41,42,38.1%,28.6%,2.4%,13.1%,2.4%,13.1%,2.4%,
