"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,215,190,37.5%,42.0%,5.5%,4.8%,2.2%,7.1%,0.9%
"경기,인천",317,315,44.0%,33.5%,4.4%,6.2%,2.0%,9.3%,0.7%
"대전,세종,충남북",88,106,51.4%,35.3%,0.0%,1.1%,0.0%,12.2%,0.0%
"광주,전남북",104,98,70.4%,15.6%,3.9%,2.1%,0.0%,5.7%,2.3%
"대구,경북",94,98,30.8%,47.7%,3.4%,3.0%,3.4%,9.6%,2.0%
"부산,울산,경남",138,151,32.8%,47.8%,0.8%,4.4%,2.1%,9.9%,2.2%
"강원,제주",46,44,38.8%,49.6%,0.0%,6.7%,0.0%,4.8%,0.0%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
