"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,186,188,34%,36%,1%,14%,1%,9%,4%,
"경기,인천",318,316,39%,35%,4%,9%,2%,9%,2%,
"대전,세종,충남북",108,108,37%,44%,3%,5%,1%,7%,4%,
"광주,전남북",99,100,70%,13%,3%,6%,3%,4%,2%,
"대구,경북",98,97,14%,63%,2%,8%,0%,6%,6%,
"부산,울산,경남",152,152,28%,47%,2%,9%,1%,11%,2%,
"강원,제주",43,43,42%,40%,2%,7%,2%,2%,5%,
