"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
서울,206,189,41.4%,45.4%,1.5%,8.4%,0.0%,1.8%,1.5%,,,
"경기,인천",323,316,50.6%,36.6%,2.5%,8.9%,0.6%,0.0%,0.8%,,,
"대전,세종,충남북",103,107,36.7%,51.2%,2.7%,8.1%,0.0%,1.3%,0.0%,,,
"광주,전남북",88,98,59.0%,30.6%,1.7%,7.9%,0.0%,0.8%,0.0%,,,
"대구,경북",100,98,28.2%,61.0%,1.8%,7.2%,0.9%,0.9%,0.0%,,,
"부산,울산,경남",140,152,42.3%,49.9%,1.2%,3.0%,1.8%,0.0%,1.8%,,,
"강원,제주",44,44,27.1%,57.8%,0.0%,4.5%,1.4%,9.2%,0.0%,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
