"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,202,190,33.1%,46.4%,2.4%,11.6%,0.9%,1.6%,3.4%,0.5%
"경기,인천",307,315,38.1%,39.6%,3.2%,11.9%,1.2%,2.5%,2.9%,0.7%
"대전,세종,충남북",107,106,36.5%,37.8%,0.0%,13.3%,1.7%,4.2%,6.6%,0.0%
"광주,전남북",109,98,65.4%,20.0%,0.7%,7.6%,0.9%,3.3%,0.0%,2.1%
"대구,경북",98,98,34.4%,44.4%,0.0%,11.8%,0.8%,3.3%,4.3%,1.1%
"부산,울산,경남",136,151,31.3%,53.1%,1.4%,5.8%,1.2%,1.3%,6.0%,0.0%
"강원,제주",43,44,39.1%,32.5%,3.2%,15.0%,2.4%,3.6%,4.2%,0.0%
