"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,219,198,36.4%,48.2%,2.8%,8.1%,1.4%,0.6%,2.6%,0.0%
"경기,인천",332,331,41.3%,41.0%,2.1%,8.3%,2.3%,0.9%,3.7%,0.4%
"대전,세종,충남북",102,111,40.2%,36.9%,2.2%,16.5%,3.4%,0.0%,0.0%,0.9%
"광주,전남북",108,103,61.8%,24.2%,2.1%,6.4%,4.0%,0.7%,0.9%,0.0%
"대구,경북",102,101,31.4%,50.8%,0.8%,9.3%,5.8%,0.0%,1.1%,0.7%
"부산,울산,경남",145,161,30.5%,50.4%,2.9%,10.5%,3.2%,1.6%,0.8%,0.0%
"강원,제주",42,45,25.5%,58.9%,0.0%,6.3%,7.5%,0.0%,1.8%,0.0%
