"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,189,190,23.8%,48.7%,3.6%,7.3%,0.5%,4.1%,11.9%
"경기,인천",323,319,35.5%,41.3%,3.7%,6.3%,1.6%,3.5%,8.0%
"대전,세종,충남북",105,108,32.9%,37.7%,2.2%,9.5%,0.0%,5.8%,11.9%
"광주,전남북",101,99,56.2%,9.6%,5.1%,5.9%,4.8%,1.9%,16.6%
"대구,경북",95,99,16.0%,53.3%,4.1%,4.9%,0.8%,8.4%,12.4%
"부산,울산,경남",156,153,26.8%,48.3%,1.7%,8.2%,2.9%,1.7%,10.5%
"강원,제주",43,44,43.8%,37.4%,2.3%,4.3%,0.0%,5.4%,6.8%
