"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,201,189,43.7%,44.4%,0.6%,5.2%,1.5%,0.6%,0.4%,1.5%,2.0%
"경기,인천",322,315,46.8%,40.4%,2.2%,7.2%,0.6%,0.5%,0.0%,1.0%,1.4%
"대전,세종,충남북",96,106,33.3%,55.9%,0.0%,8.3%,1.7%,0.7%,0.0%,0.0%,0.0%
"광주,전남북",91,98,65.9%,26.9%,2.4%,0.9%,0.8%,1.3%,0.8%,1.0%,0.0%
"대구,경북",100,98,29.5%,55.0%,1.0%,4.6%,6.9%,0.0%,0.0%,1.0%,2.0%
"부산,울산,경남",147,150,37.4%,50.1%,1.6%,6.9%,2.0%,0.7%,1.3%,0.0%,0.0%
"강원,제주",43,44,39.0%,54.7%,2.3%,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
