"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,252,190,39.80%,38.80%,6.10%,3.40%,2.90%,0.40%,6.50%,2.20%
"경기,인천",366,315,40.70%,42.90%,3.60%,1.00%,3.70%,2.60%,3.50%,2.00%
"대전,세종,충남북",77,106,27.80%,53.60%,6.20%,4.70%,4.50%,0.00%,3.20%,0.00%
"부산,울산,경남",110,150,29.30%,46.80%,3.80%,7.10%,4.00%,3.80%,4.00%,1.20%
"대구,경북",73,98,23.80%,60.30%,0.90%,6.40%,0.00%,1.00%,5.20%,2.60%
"광주,전남북",76,98,65.40%,21.80%,0.90%,0.00%,3.00%,0.00%,0.80%,8.20%
"강원,제주",46,43,38.80%,48.80%,2.50%,0.00%,5.00%,0.00%,4.90%,0.00%
