"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,376,378,36.0%,40.0%,2.0%,11.0%,1.0%,6.0%,3.0%,
"경기,인천",645,635,42.0%,40.0%,3.0%,8.0%,1.0%,4.0%,2.0%,
"대전,세종,충남북",211,216,38.0%,39.0%,3.0%,12.0%,2.0%,2.0%,3.0%,
"광주,전남북",194,197,72.0%,10.0%,2.0%,8.0%,2.0%,3.0%,3.0%,
"대구,경북",198,196,23.0%,60.0%,1.0%,8.0%,1.0%,4.0%,3.0%,
"부산,울산,경남",307,304,31.0%,46.0%,4.0%,6.0%,3.0%,7.0%,4.0%,
"강원,제주",82,87,43.0%,34.0%,2.0%,11.0%,4.0%,4.0%,2.0%,
