"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,266,205,37.8%,47.5%,1.7%,10.5%,1.2%,0.7%,0.6%
"경기,인천",307,340,45.1%,40.9%,1.9%,6.9%,1.6%,2.5%,1.1%
"대전,세종,충남북",101,114,42.8%,44.7%,1.5%,5.4%,2.4%,1.7%,1.5%
강원,38,32,35.1%,54.7%,0.0%,4.9%,0.0%,0.0%,5.3%
"부산,울산,경남",151,163,36.5%,48.2%,3.2%,6.0%,2.6%,3.6%,0.0%
"대구,경북",100,105,23.2%,56.1%,4.7%,10.9%,0.8%,1.4%,2.9%
"광주,전남북",100,105,65.6%,18.1%,6.1%,6.2%,1.7%,0.0%,2.3%
제주,13,12,50.0%,37.0%,0.0%,6.9%,6.1%,0.0%,0.0%
