"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
"천안시 동남구,서북구",230,244,33.4%,31.4%,5.4%,7.4%,0.3%,3.6%,12.6%,5.8%
"보령시,서산시,서천군,예산군,태안군,홍성군",217,218,36.0%,38.1%,3.3%,4.7%,0.7%,2.9%,10.8%,3.5%
"당진시,아산시",176,179,38.2%,33.7%,4.4%,5.6%,0.5%,3.2%,10.3%,4.1%
"계룡시,공주시,금산군,논산시,부여군,청양군",177,159,33.1%,37.7%,1.9%,2.6%,0.0%,1.8%,12.9%,10.0%
