"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
중구,363,338,21.4%,60.1%,3.8%,10.7%,0.2%,2.7%,1.1%
남구,642,667,18.9%,66.2%,2.7%,5.2%,2.4%,3.7%,1.0%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
