"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,263,189,36.3%,47.9%,2.6%,5.7%,2.9%,1.7%,2.2%,0.6%
"경기,인천",295,315,41.7%,45.2%,3.9%,6.1%,0.9%,0.6%,0.2%,1.6%
"대전,세종,충남북",105,106,41.4%,33.2%,5.8%,5.6%,6.3%,2.6%,1.6%,3.5%
"부산,울산,경남",127,151,35.9%,52.1%,1.4%,4.8%,2.6%,1.7%,1.4%,0.0%
"대구,경북",82,98,24.4%,57.3%,2.1%,7.9%,2.9%,2.6%,2.7%,0.0%
"광주,전남북",85,98,67.5%,14.0%,2.0%,5.0%,3.3%,0.0%,7.3%,0.9%
"강원,제주",43,43,38.3%,46.2%,0.0%,6.8%,4.0%,3.3%,1.5%,0.0%
,,,,,,,,,,
