"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,196,193,29.70%,42.20%,7.00%,6.70%,0.80%,4.00%,5.90%,3.60%
"경기,인천",297,318,39.40%,33.90%,5.10%,6.10%,0.70%,1.50%,10.90%,2.40%
"대전,세종,충남북",102,109,33.50%,43.30%,4.50%,5.30%,0.90%,1.80%,10.70%,0.00%
"광주,전남북",130,99,61.90%,13.80%,3.10%,5.30%,0.00%,5.00%,7.10%,3.70%
"대구,경북",101,99,32.10%,44.40%,4.50%,4.10%,0.60%,1.10%,10.70%,2.50%
"부산,울산,경남",132,152,33.20%,41.20%,3.70%,5.40%,1.20%,4.70%,7.40%,3.10%
"강원,제주",56,44,40.80%,35.00%,9.80%,5.90%,5.50%,3.00%,0.00%,0.00%
