"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
서울,733,573,31.6%,40.5%,3.1%,16.2%,2.2%,4.6%,1.8%,,,
"경기,인천",935,953,36.9%,41.7%,2.4%,11.3%,1.0%,5.3%,1.4%,,,
"대전,세종,충남북",301,322,37.5%,36.5%,1.6%,15.0%,4.1%,4.7%,0.5%,,,
강원,101,91,29.5%,46.7%,1.5%,12.8%,5.2%,3.6%,0.6%,,,
"부산,울산,경남",400,460,32.8%,47.3%,0.8%,11.6%,2.6%,3.4%,1.5%,,,
"대구,경북",250,296,24.4%,54.1%,2.0%,13.4%,1.2%,3.5%,1.3%,,,
"광주,전남북",278,297,63.4%,16.4%,1.9%,11.6%,1.7%,4.1%,0.8%,,,
제주,33,39,51.1%,34.4%,0.0%,5.7%,0.0%,8.9%,0.0%,,,
