"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,206,190,34.5%,40.9%,1.2%,11.4%,2.3%,5.0%,0.9%,3.8%,0.0%
"경기,인천",307,315,40.7%,39.8%,2.5%,10.2%,0.4%,1.8%,1.9%,1.0%,1.6%
"대전,세종,충남북",107,105,36.6%,47.1%,2.3%,5.6%,0.0%,2.7%,0.0%,3.4%,2.3%
"광주,전남북",104,98,55.6%,20.0%,3.1%,13.6%,0.0%,4.1%,0.0%,1.3%,2.4%
"대구,경북",91,98,29.5%,51.9%,0.0%,8.7%,0.0%,6.0%,0.0%,1.5%,2.3%
"부산,울산,경남",142,150,30.2%,51.8%,1.0%,4.4%,0.7%,6.5%,0.7%,4.7%,0.0%
"강원,제주",43,44,38.1%,49.2%,0.0%,4.2%,0.0%,3.5%,0.0%,0.0%,5.0%
