"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,194,189,38.0%,26.0%,2.6%,11.3%,1.0%,12.3%,8.8%
"경기,인천",325,315,34.0%,23.1%,4.3%,16.9%,1.8%,10.8%,9.1%
"대전,세종,충남북",102,107,27.2%,28.5%,4.0%,16.9%,2.0%,12.5%,8.9%
"부산,울산,경남",150,151,26.7%,36.7%,2.2%,12.6%,1.8%,10.1%,10.0%
"대구,경북",93,98,18.9%,41.0%,1.8%,6.3%,2.0%,17.9%,12.0%
"광주,전남북",99,98,59.7%,6.2%,2.9%,6.0%,1.9%,15.2%,7.9%
"강원,제주",39,44,37.1%,24.2%,0.0%,10.6%,9.8%,9.8%,8.3%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
