"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,210,189,31.1%,41.4%,3.3%,10.2%,2.9%,3.4%,6.3%,1.3%
"경기,인천",308,314,41.7%,34.8%,1.8%,15.2%,0.9%,1.9%,2.8%,1.0%
"대전,세종,충남북",104,107,23.1%,48.5%,3.6%,16.7%,3.6%,1.0%,1.8%,1.8%
"광주,전남북",95,98,62.3%,16.9%,2.2%,12.0%,4.2%,0.0%,2.4%,0.0%
"대구,경북",92,98,36.4%,45.8%,0.0%,7.8%,2.9%,1.7%,4.5%,0.8%
"부산,울산,경남",148,150,40.7%,36.1%,3.0%,10.4%,1.5%,1.7%,4.6%,2.0%
"강원,제주",43,44,30.1%,39.6%,1.8%,14.4%,3.8%,1.5%,4.5%,4.2%
,,,,,,,,,,
