"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
광산구,219,217,56.0%,10.6%,4.6%,12.8%,2.3%,12.4%,1.3%
남구,118,121,56.7%,11.1%,3.6%,16.8%,0.8%,7.6%,3.5%
동구,59,59,67.6%,10.1%,5.1%,12.4%,0.0%,4.9%,0.0%
북구,238,241,63.9%,11.7%,5.7%,10.1%,2.0%,4.9%,1.7%
서구,169,165,57.1%,11.3%,7.1%,11.3%,1.1%,10.8%,1.2%
,,,,,,,,,
,,,,,,,,,
