"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,190,188,30.4%,42.2%,2.7%,7.3%,2.6%,5.3%,9.5%
"경기,인천",318,313,33.5%,33.1%,2.9%,7.9%,1.9%,10.0%,10.7%
"대전,세종,충남북",109,110,28.0%,38.3%,2.0%,6.7%,1.7%,14.0%,9.2%
"부산,울산,경남",148,150,23.1%,46.9%,2.2%,4.0%,4.2%,6.8%,12.9%
"대구,경북",94,96,19.0%,50.8%,4.1%,5.8%,2.4%,7.2%,10.7%
"광주,전남북",98,101,56.0%,10.9%,3.6%,7.3%,1.0%,4.3%,16.8%
"강원,제주",44,43,33.7%,30.2%,0.0%,10.5%,2.3%,14.0%,9.3%
