"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,649,566,42.3%,42.6%,1.8%,8.4%,1.4%,2.1%,1.6%
"경기,인천",971,948,44.6%,42.5%,3.7%,5.9%,0.8%,1.5%,1.0%
"대전,세종,충남북",303,317,37.8%,48.6%,2.3%,7.6%,1.2%,0.7%,1.9%
"광주,전남북",334,295,67.2%,21.3%,2.8%,4.5%,1.4%,1.8%,0.9%
"대구,경북",266,293,30.3%,55.8%,3.2%,6.2%,2.5%,1.4%,0.7%
"부산,울산,경남",373,453,33.0%,52.2%,2.7%,7.2%,1.8%,1.5%,1.6%
"강원,제주",104,128,38.7%,50.8%,1.0%,7.0%,0.0%,2.5%,0.0%
,,,,,,,,,
