"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,255,196,35.9%,42.7%,3.0%,3.4%,0.0%,4.0%,9.4%,1.5%
"경기,인천",307,325,45.8%,31.5%,4.0%,7.0%,0.2%,3.5%,6.6%,1.4%
"대전,세종,충남북",102,110,27.9%,57.0%,1.4%,7.5%,1.4%,4.1%,0.7%,0.0%
"광주,전남북",105,102,59.7%,16.3%,7.8%,4.3%,2.6%,3.0%,3.4%,2.8%
"대구,경북",99,101,33.2%,34.7%,1.4%,6.6%,1.0%,8.7%,13.5%,0.8%
"부산,울산,경남",123,155,26.3%,49.9%,3.8%,5.9%,0.7%,4.7%,8.8%,0.0%
"강원,제주",43,45,27.5%,39.7%,8.0%,9.2%,0.0%,2.3%,11.7%,1.7%
