"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,264,189,36.0%,44.8%,2.7%,9.6%,2.2%,1.2%,2.9%,0.7%
"경기,인천",329,315,40.5%,43.1%,4.4%,5.0%,2.8%,0.9%,2.0%,1.4%
"대전,세종,충남북",80,106,47.2%,39.1%,2.4%,9.4%,0.0%,1.8%,0.0%,0.0%
"부산,울산,경남",119,151,38.6%,49.8%,0.6%,7.3%,1.2%,2.0%,0.0%,0.6%
"대구,경북",79,98,11.6%,65.0%,5.3%,6.1%,5.9%,0.0%,5.2%,0.9%
"광주,전남북",89,98,58.8%,27.8%,0.7%,6.1%,4.8%,0.0%,1.7%,0.0%
"강원,제주",40,43,39.7%,35.1%,0.0%,1.6%,9.9%,0.0%,4.6%,9.0%
