"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,408,380,36.9%,42.6%,4.0%,11.4%,1.4%,2.9%,0.8%
"경기,인천",621,630,37.5%,47.2%,2.4%,8.9%,2.6%,0.9%,0.4%
"대전,세종,충남북",204,212,39.4%,47.5%,0.9%,5.4%,3.7%,1.6%,1.5%
"광주,전남북",195,197,68.5%,21.1%,2.9%,5.0%,0.4%,1.5%,0.6%
"대구,경북",189,196,31.7%,55.0%,4.7%,5.3%,1.7%,0.6%,1.0%
"부산,울산,경남",297,301,32.8%,52.0%,1.2%,9.1%,2.3%,2.1%,0.5%
"강원,제주",87,85,43.9%,42.9%,2.0%,8.3%,2.9%,0.0%,0.0%
,,,,,,,,,
