"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,조원진,기타,없음,모름
"포항,경주,영덕,울진,울릉",272,259,19.5%,62.9%,3.4%,6.8%,4.1%,0.4%,0.4%,1.4%,1.1%
"영천,경산,청도,고령,성주",135,152,24.1%,54.5%,3.2%,8.0%,2.2%,0.7%,1.4%,2.8%,3.1%
"안동,영주,예천,영양,봉화,청송,의성,군위",179,143,13.5%,65.0%,0.5%,8.1%,2.8%,0.6%,1.1%,4.3%,4.0%
"구미,칠곡,김천,상주,문경",217,249,14.7%,63.1%,2.4%,9.5%,4.6%,1.0%,0.0%,1.8%,2.8%
