"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,233,189,37.7%,37.7%,6.0%,8.6%,1.3%,6.7%,2.1%,
"경기,인천",306,315,43.2%,37.9%,0.7%,10.3%,1.5%,3.6%,2.8%,
"대전,세종,충남북",94,107,30.2%,52.9%,1.5%,11.6%,2.1%,1.8%,0.0%,
"광주,전남북",97,98,67.3%,23.5%,0.7%,4.7%,1.7%,2.2%,0.0%,
"대구,경북",93,98,27.0%,52.1%,0.0%,10.5%,3.3%,7.1%,0.0%,
"부산,울산,경남",141,151,33.4%,48.6%,0.8%,3.8%,6.3%,6.3%,0.8%,
"강원,제주",38,44,52.4%,35.0%,2.8%,7.4%,0.0%,2.3%,0.0%,
