"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름,
서울,194,193,36.0%,42.1%,3.5%,10.8%,1.0%,3.8%,0.8%,1.3%,0.8%,
"경기,인천",293,319,34.6%,38.0%,3.2%,12.7%,1.5%,2.2%,0.9%,5.8%,1.0%,
"대전,세종,충남북",115,109,32.1%,47.9%,0.9%,10.5%,1.3%,1.3%,0.9%,2.1%,2.9%,
"광주,전남북",120,99,61.8%,18.3%,1.8%,11.7%,0.8%,2.0%,0.0%,1.9%,1.7%,
"대구,경북",92,99,23.9%,54.3%,1.8%,7.8%,0.0%,5.4%,0.0%,6.8%,0.0%,
"부산,울산,경남",155,152,33.2%,49.0%,2.0%,7.9%,0.0%,3.6%,0.0%,2.6%,1.8%,
"강원,제주",46,44,44.4%,34.7%,4.7%,11.4%,0.0%,2.3%,1.4%,1.1%,0.0%,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
