"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,
서울,217,189,35.2%,41.4%,5.4%,4.2%,1.7%,1.3%,8.7%,2.1%,
"경기,인천",308,315,38.9%,39.8%,6.3%,3.4%,0.9%,1.5%,8.1%,1.1%,
"대전,세종,충남북",92,106,32.5%,42.8%,2.7%,4.7%,2.8%,3.7%,8.6%,2.1%,
"광주,전남북",97,98,58.2%,25.0%,1.0%,3.0%,3.2%,2.3%,3.8%,3.4%,
"대구,경북",94,98,27.4%,50.5%,1.5%,5.3%,0.9%,4.7%,6.8%,2.9%,
"부산,울산,경남",148,150,36.6%,43.9%,2.6%,0.0%,2.4%,5.0%,7.3%,2.0%,
"강원,제주",51,44,37.4%,52.2%,3.4%,0.0%,0.0%,0.0%,7.0%,0.0%,
