"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,199,190,38.3%,37.4%,2.4%,9.4%,0.0%,3.5%,9.0%,0.0%
"경기,인천",310,315,39.9%,33.9%,3.6%,9.7%,0.9%,1.8%,9.9%,0.4%
"대전,세종,충남북",106,105,31.1%,50.9%,0.0%,10.1%,0.0%,1.9%,4.8%,1.2%
"광주,전남북",106,98,62.0%,17.3%,1.1%,7.2%,2.1%,4.0%,6.4%,0.0%
"대구,경북",93,98,28.8%,50.1%,1.1%,5.7%,0.9%,7.6%,3.2%,2.5%
"부산,울산,경남",148,150,39.4%,36.0%,1.6%,5.7%,0.7%,4.5%,10.3%,1.7%
"강원,제주",38,44,46.4%,38.4%,5.4%,0.0%,0.0%,2.2%,4.5%,3.2%
