"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,209,189,26.9%,49.4%,2.5%,6.6%,0.5%,7.1%,7.0%,
"경기,인천",324,317,35.4%,39.4%,4.1%,5.8%,2.9%,5.0%,7.4%,
"대전,세종,충남북",101,108,37.5%,38.5%,1.1%,10.9%,2.1%,3.7%,6.3%,
"광주,전남북",98,98,69.8%,11.8%,3.7%,2.6%,1.6%,4.2%,6.2%,
"대구,경북",90,98,19.7%,54.3%,4.9%,4.5%,2.9%,3.6%,10.1%,
"부산,울산,경남",145,152,25.8%,53.6%,1.8%,8.9%,0.7%,6.6%,2.7%,
"강원,제주",39,44,27.5%,46.5%,5.2%,6.8%,0.0%,1.8%,12.1%,
