"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,192,187,31.0%,46.1%,5.7%,3.7%,0.5%,10.8%,2.1%,
"경기,인천",320,314,39.8%,34.6%,4.8%,7.2%,2.3%,8.2%,3.2%,
"대전,세종,충남북",99,108,32.9%,40.3%,2.8%,7.4%,0.9%,13.6%,2.2%,
"광주,전남북",99,99,55.4%,12.3%,5.1%,8.1%,1.0%,15.2%,3.0%,
"대구,경북",96,97,21.3%,49.5%,2.1%,4.1%,1.0%,17.3%,4.7%,
"부산,울산,경남",159,152,27.2%,42.1%,5.4%,4.3%,2.8%,16.4%,1.9%,
"강원,제주",42,43,22.7%,56.4%,2.3%,7.0%,2.3%,9.3%,0.0%,
