"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,230,192,38.4%,34.6%,5.1%,12.7%,0.4%,1.8%,4.7%,2.3%
"경기,인천",295,318,35.8%,43.7%,2.7%,11.8%,0.7%,1.7%,1.9%,1.7%
"대전,세종,충남북",119,109,34.7%,44.5%,3.1%,10.9%,0.7%,1.6%,3.8%,0.8%
강원,28,31,40.7%,37.7%,0.0%,10.5%,3.5%,0.0%,7.7%,0.0%
"부산,울산,경남",136,152,34.6%,41.2%,0.8%,14.7%,0.8%,2.0%,4.4%,1.5%
"대구,경북",105,98,25.3%,45.4%,3.0%,21.1%,0.8%,3.6%,0.9%,0.0%
"광주,전남북",84,99,57.6%,17.0%,2.6%,2.6%,3.4%,2.2%,13.1%,1.6%
제주,14,12,7.3%,53.7%,18.1%,7.1%,6.6%,0.0%,0.0%,7.1%
