"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,193,189,35.6%,39.8%,6.4%,13.5%,2.4%,1.9%,0.4%
"경기,인천",299,315,39.6%,41.1%,1.3%,12.7%,2.2%,1.5%,1.6%
"강원,제주",50,43,40.2%,45.5%,3.1%,7.3%,1.6%,2.3%,0.0%
"대전,세종,충남북",110,106,31.6%,46.9%,2.3%,17.2%,0.5%,1.5%,0.0%
"부산,울산,경남",155,151,33.8%,50.2%,1.4%,7.8%,1.9%,3.2%,1.6%
"대구,경북",99,98,23.8%,54.4%,1.9%,11.2%,2.8%,5.9%,0.0%
"광주,전남북",94,98,51.5%,27.9%,0.0%,7.8%,1.6%,6.7%,4.5%
,,,,,,,,,
